160;"a0";"&nbsp;";;
161;"a1";"&iexcl;";;
162;"a2";"&cent;";;
163;"a3";"&pound;";;
164;"a4";"&curren;";;
165;"a5";"&yen;";;
166;"a6";"&brvbar;";;
167;"a7";"&sect;";;
168;"a8";"&uml;";;
169;"a9";"&copy;";;
170;"aa";"&ordf;";;
171;"ab";"&laquo;";;
172;"ac";"&not;";;
173;"ad";"&shy;";;
174;"ae";"&reg;";;
175;"af";"&macr;";;
176;"b0";"&deg;";;
177;"b1";"&plusmn;";;
178;"b2";"&sup2;";;
179;"b3";"&sup3;";;
180;"b4";"&acute;";;
181;"b5";"&micro;";;
182;"b6";"&para;";;
183;"b7";"&middot;";;
184;"b8";"&cedil;";;
185;"b9";"&sup1;";;
186;"ba";"&ordm;";;
187;"bb";"&raquo;";;
188;"bc";"&frac14;";;
189;"bd";"&frac12;";;
190;"be";"&frac34;";;
191;"bf";"&iquest;";;
192;"c0";"&Agrave;";;
193;"c1";"&Aacute;";;
194;"c2";"&Acirc;";;
195;"c3";"&Atilde;";;
196;"c4";"&Auml;";;
197;"c5";"&Aring;";;
198;"c6";"&AElig;";;
199;"c7";"&Ccedil;";;
200;"c8";"&Egrave;";;
201;"c9";"&Eacute;";;
202;"ca";"&Ecirc;";;
203;"cb";"&Euml;";;
204;"cc";"&Igrave;";;
205;"cd";"&Iacute;";;
206;"ce";"&Icirc;";;
207;"cf";"&Iuml;";;
208;"d0";"&ETH;";;
209;"d1";"&Ntilde;";;
210;"d2";"&Ograve;";;
211;"d3";"&Oacute;";;
212;"d4";"&Ocirc;";;
213;"d5";"&Otilde;";;
214;"d6";"&Ouml;";;
215;"d7";"&times;";;
216;"d8";"&Oslash;";;
217;"d9";"&Ugrave;";;
218;"da";"&Uacute;";;
219;"db";"&Ucirc;";;
220;"dc";"&Uuml;";;
221;"dd";"&Yacute;";;
222;"de";"&THORN;";;
223;"df";"&szlig;";;
224;"e0";"&agrave;";;
225;"e1";"&aacute;";;
226;"e2";"&acirc;";;
227;"e3";"&atilde;";;
228;"e4";"&auml;";;
229;"e5";"&aring;";;
230;"e6";"&aelig;";;
231;"e7";"&ccedil;";;
232;"e8";"&egrave;";;
233;"e9";"&eacute;";;
234;"ea";"&ecirc;";;
235;"eb";"&euml;";;
236;"ec";"&igrave;";;
237;"ed";"&iacute;";;
238;"ee";"&icirc;";;
239;"ef";"&iuml;";;
240;"f0";"&eth;";;
241;"f1";"&ntilde;";;
242;"f2";"&ograve;";;
243;"f3";"&oacute;";;
244;"f4";"&ocirc;";;
245;"f5";"&otilde;";;
246;"f6";"&ouml;";;
247;"f7";"&divide;";;
248;"f8";"&oslash;";;
249;"f9";"&ugrave;";;
250;"fa";"&uacute;";;
251;"fb";"&ucirc;";;
252;"fc";"&uuml;";;
253;"fd";"&yacute;";;
254;"fe";"&thorn;";;
255;"ff";"&yuml;";;
;;;;
;;;;
"""";34;22;;"&quot;"
"&";38;26;;"&amp;"
"<";60;"3c";;"&lt;"
">";62;"3e";;"&gt;"
